        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -10.746668
                  0.5075                      -10.717997
                   0.515                      -10.692831
                  0.5225                      -10.671153
                    0.53                      -10.652952
                  0.5375                      -10.638215
                   0.545                      -10.626937
                  0.5525                      -10.619111
                    0.56                      -10.614737
                  0.5675                      -10.613815
                   0.575                      -10.616349
                  0.5825                      -10.622348
                    0.59                       -10.63182
                  0.5975                      -10.644781
                   0.605                      -10.661247
                  0.6125                      -10.681238
                    0.62                       -10.70478
                  0.6275                      -10.731899
                   0.635                      -10.762628
                  0.6425                      -10.797002
                    0.65                       -10.83506
                  0.6575                      -10.876848
                   0.665                      -10.922413
                  0.6725                      -10.971808
                    0.68                      -11.025092
                  0.6875                      -11.082327
                   0.695                      -11.143582
                  0.7025                      -11.208931
                    0.71                      -11.278454
                  0.7175                      -11.352237
                   0.725                      -11.430372
                  0.7325                      -11.512961
                    0.74                      -11.600109
                  0.7475                      -11.691933
                   0.755                      -11.788555
                  0.7625                      -11.890108
                    0.77                      -11.996735
                  0.7775                      -12.108589
                   0.785                      -12.225832
                  0.7925                      -12.348642
                     0.8                      -12.477207
                  0.8075                       -12.61173
                   0.815                       -12.75243
                  0.8225                      -12.899542
                    0.83                       -13.05332
                  0.8375                      -13.214038
                   0.845                      -13.381991
                  0.8525                      -13.557499
                    0.86                      -13.740911
                  0.8675                      -13.932603
                   0.875                      -14.132985
                  0.8825                      -14.342506
                    0.89                      -14.561655
                  0.8975                       -14.79097
                   0.905                      -15.031039
                  0.9125                      -15.282513
                    0.92                      -15.546113
                  0.9275                      -15.822636
                   0.935                      -16.112971
                  0.9425                      -16.418115
                    0.95                      -16.739184
                  0.9575                       -17.07744
                   0.965                      -17.434314
                  0.9725                      -17.811441
                    0.98                      -18.210693
                  0.9875                      -18.634239
                   0.995                        -19.0846
                  1.0025                      -19.564737
                    1.01                      -20.078156
                  1.0175                      -20.629051
                   1.025                      -21.222499
                  1.0325                      -21.864719
                    1.04                      -22.563443
                  1.0475                      -23.328449
                   1.055                      -24.172333
                  1.0625                        -25.1117
                    1.07                      -26.169012
                  1.0775                       -27.37562
                   1.085                      -28.776917
                  1.0925                      -30.441457
                     1.1                       -32.47734
                  1.1075                      -35.057694
                   1.115                      -38.403237
                  1.1225                      -42.005691
                    1.13                      -41.663582
                  1.1375                      -37.955328
                   1.145                      -34.699709
                  1.1525                      -32.188182
                    1.16                      -30.196585
                  1.1675                      -28.560765
                   1.175                      -27.178471
                  1.1825                      -25.984554
                    1.19                      -24.935655
                  1.1975                      -24.001686
                   1.205                      -23.161006
                  1.2125                      -22.397566
                    1.22                      -21.699156
                  1.2275                      -21.056275
                   1.235                      -20.461395
                  1.2425                       -19.90845
