        Frequency / GHz                S2,2/abs,dB
----------------------------------------------------------------------
                     0.5                      -8.9153776
                  0.5075                      -8.8669732
                   0.515                      -8.8217132
                  0.5225                      -8.7795442
                    0.53                      -8.7404153
                  0.5375                      -8.7042784
                   0.545                       -8.671088
                  0.5525                      -8.6408015
                    0.56                      -8.6133788
                  0.5675                      -8.5887828
                   0.575                      -8.5669789
                  0.5825                      -8.5479352
                    0.59                      -8.5316229
                  0.5975                      -8.5180154
                   0.605                      -8.5070893
                  0.6125                      -8.4988237
                    0.62                      -8.4932006
                  0.6275                      -8.4902045
                   0.635                       -8.489823
                  0.6425                      -8.4920462
                    0.65                      -8.4968671
                  0.6575                      -8.5042816
                   0.665                      -8.5142882
                  0.6725                      -8.5268884
                    0.68                      -8.5420865
                  0.6875                      -8.5598896
                   0.695                       -8.580308
                  0.7025                      -8.6033546
                    0.71                      -8.6290455
                  0.7175                      -8.6573999
                   0.725                      -8.6884398
                  0.7325                      -8.7221905
                    0.74                      -8.7586807
                  0.7475                       -8.797942
                   0.755                      -8.8400096
                  0.7625                       -8.884922
                    0.77                      -8.9327212
                  0.7775                       -8.983453
                   0.785                      -9.0371668
                  0.7925                      -9.0939159
                     0.8                      -9.1537575
                  0.8075                       -9.216753
                   0.815                      -9.2829681
                  0.8225                      -9.3524731
                    0.83                      -9.4253429
                  0.8375                      -9.5016571
                   0.845                      -9.5815007
                  0.8525                      -9.6649641
                    0.86                      -9.7521432
                  0.8675                      -9.8431401
                   0.875                       -9.938063
                  0.8825                      -10.037027
                    0.89                      -10.140154
                  0.8975                      -10.247575
                   0.905                      -10.359427
                  0.9125                      -10.475856
                    0.92                       -10.59702
                  0.9275                      -10.723083
                   0.935                      -10.854223
                  0.9425                      -10.990628
                    0.95                        -11.1325
                  0.9575                      -11.280054
                   0.965                      -11.433519
                  0.9725                      -11.593143
                    0.98                      -11.759188
                  0.9875                       -11.93194
                   0.995                      -12.111704
                  1.0025                       -12.29881
                    1.01                      -12.493613
                  1.0175                        -12.6965
                   1.025                      -12.907888
                  1.0325                      -13.128233
                    1.04                      -13.358032
                  1.0475                      -13.597828
                   1.055                      -13.848215
                  1.0625                      -14.109851
                    1.07                      -14.383458
                  1.0775                      -14.669838
                   1.085                      -14.969885
                  1.0925                      -15.284595
                     1.1                      -15.615085
                  1.1075                      -15.962618
                   1.115                      -16.328622
                  1.1225                      -16.714726
                    1.13                      -17.122798
                  1.1375                      -17.554995
                   1.145                      -18.013824
                  1.1525                      -18.502223
                    1.16                      -19.023671
                  1.1675                      -19.582317
                   1.175                      -20.183176
                  1.1825                      -20.832375
                    1.19                      -21.537512
