        Frequency / GHz                S1,2/abs,dB
----------------------------------------------------------------------
                     0.5                     -0.43883832
                  0.5075                     -0.44203099
                   0.515                     -0.44492458
                  0.5225                     -0.44751322
                    0.53                      -0.4497917
                  0.5375                     -0.45175544
                   0.545                      -0.4534005
                  0.5525                      -0.4547236
                    0.56                     -0.45572208
                  0.5675                     -0.45639389
                   0.575                     -0.45673762
                  0.5825                     -0.45675245
                    0.59                     -0.45643818
                  0.5975                     -0.45579521
                   0.605                     -0.45482452
                  0.6125                     -0.45352767
                    0.62                     -0.45190681
                  0.6275                     -0.44996465
                   0.635                     -0.44770445
                  0.6425                     -0.44513004
                    0.65                     -0.44224578
                  0.6575                     -0.43905658
                   0.665                     -0.43556787
                  0.6725                     -0.43178558
                    0.68                     -0.42771619
                  0.6875                     -0.42336663
                   0.695                     -0.41874435
                  0.7025                     -0.41385727
                    0.71                     -0.40871379
                  0.7175                     -0.40332274
                   0.725                     -0.39769343
                  0.7325                     -0.39183557
                    0.74                     -0.38575931
                  0.7475                      -0.3794752
                   0.755                     -0.37299419
                  0.7625                      -0.3663276
                    0.77                     -0.35948714
                  0.7775                     -0.35248483
                   0.785                     -0.34533306
                  0.7925                      -0.3380445
                     0.8                     -0.33063217
                  0.8075                     -0.32310931
                   0.815                     -0.31548947
                  0.8225                     -0.30778642
                    0.83                     -0.30001416
                  0.8375                     -0.29218688
                   0.845                     -0.28431896
                  0.8525                     -0.27642493
                    0.86                     -0.26851945
                  0.8675                     -0.26061729
                   0.875                     -0.25273332
                  0.8825                     -0.24488244
                    0.89                     -0.23707959
                  0.8975                     -0.22933973
                   0.905                     -0.22167779
                  0.9125                     -0.21410865
                    0.92                      -0.2066471
                  0.9275                     -0.19930783
                   0.935                      -0.1921054
                  0.9425                     -0.18505421
                    0.95                     -0.17816844
                  0.9575                     -0.17146206
                   0.965                     -0.16494878
                  0.9725                     -0.15864204
                    0.98                     -0.15255494
                  0.9875                     -0.14670025
                   0.995                     -0.14109037
                  1.0025                     -0.13573729
                    1.01                     -0.13065257
                  1.0175                     -0.12584731
                   1.025                     -0.12133213
                  1.0325                     -0.11711713
                    1.04                     -0.11321188
                  1.0475                     -0.10962539
                   1.055                     -0.10636608
                  1.0625                     -0.10344177
                    1.07                     -0.10085965
                  1.0775                    -0.098626262
                   1.085                    -0.096747494
                  1.0925                    -0.095228551
                     1.1                    -0.094073945
                  1.1075                    -0.093287484
                   1.115                     -0.09287226
                  1.1225                    -0.092830642
                    1.13                    -0.093164267
                  1.1375                    -0.093874036
                   1.145                     -0.09496011
                  1.1525                    -0.096421913
                    1.16                    -0.098258127
                  1.1675                      -0.1004667
                   1.175                     -0.10304485
                  1.1825                     -0.10598908
                    1.19                     -0.10929515
                  1.1975                     -0.11295814
                   1.205                     -0.11697244
                  1.2125                     -0.12133176
                    1.22                     -0.12602913
                  1.2275                     -0.13105696
                   1.235                     -0.13640703
                  1.2425                      -0.1420705
                    1.25                     -0.14803798
                  1.2575                      -0.1542995
                   1.265                     -0.16084455
                  1.2725                     -0.16766213
                    1.28                     -0.17474076
                  1.2875                     -0.18206849
                   1.295                     -0.18963295
                  1.3025                     -0.19742138
                    1.31                     -0.20542065
                  1.3175                     -0.21361728
                   1.325                      -0.2219975
                  1.3325                     -0.23054726
                    1.34                     -0.23925226
                  1.3475                     -0.24809797
                   1.355                      -0.2570697
                  1.3625                     -0.26615258
                    1.37                     -0.27533163
                  1.3775                     -0.28459178
                   1.385                     -0.29391787
                  1.3925                     -0.30329472
                     1.4                     -0.31270714
                  1.4075                     -0.32213996
                   1.415                     -0.33157804
                  1.4225                     -0.34100632
                    1.43                     -0.35040986
                  1.4375                     -0.35977381
                   1.445                     -0.36908348
                  1.4525                     -0.37832436
                    1.46                     -0.38748213
                  1.4675                     -0.39654266
                   1.475                      -0.4054921
                  1.4825                     -0.41431682
                    1.49                     -0.42300349
                  1.4975                     -0.43153904
                   1.505                     -0.43991075
                  1.5125                     -0.44810621
                    1.52                     -0.45611335
                  1.5275                     -0.46392046
                   1.535                     -0.47151621
                  1.5425                     -0.47888965
                    1.55                     -0.48603022
                  1.5575                      -0.4929278
                   1.565                     -0.49957265
                  1.5725                     -0.50595549
                    1.58                     -0.51206747
                  1.5875                      -0.5179002
                   1.595                     -0.52344573
                  1.6025                     -0.52869659
