        Frequency / GHz                S1,2/abs,dB
----------------------------------------------------------------------
                     0.5                     -0.23891023
                  0.5075                     -0.24008916
                   0.515                     -0.24110378
                  0.5225                     -0.24194909
                    0.53                     -0.24262079
                  0.5375                      -0.2431152
                   0.545                     -0.24342932
                  0.5525                     -0.24356077
                    0.56                     -0.24350779
                  0.5675                     -0.24326923
                   0.575                     -0.24284452
                  0.5825                     -0.24223368
                    0.59                     -0.24143729
                  0.5975                     -0.24045647
                   0.605                     -0.23929289
                  0.6125                     -0.23794872
                    0.62                     -0.23642664
                  0.6275                     -0.23472985
                   0.635                     -0.23286198
                  0.6425                     -0.23082714
                    0.65                      -0.2286299
                  0.6575                     -0.22627525
                   0.665                     -0.22376858
                  0.6725                      -0.2211157
                    0.68                      -0.2183228
                  0.6875                     -0.21539644
                   0.695                      -0.2123435
                  0.7025                     -0.20917125
                    0.71                     -0.20588724
                  0.7175                     -0.20249933
                   0.725                     -0.19901568
                  0.7325                     -0.19544468
                    0.74                     -0.19179502
                  0.7475                     -0.18807558
                   0.755                     -0.18429548
                  0.7625                     -0.18046402
                    0.77                     -0.17659068
                  0.7775                      -0.1726851
                   0.785                     -0.16875706
                  0.7925                     -0.16481646
                     0.8                     -0.16087328
                  0.8075                     -0.15693759
                   0.815                     -0.15301954
                  0.8225                     -0.14912927
                    0.83                     -0.14527698
                  0.8375                     -0.14147285
                   0.845                     -0.13772702
                  0.8525                      -0.1340496
                    0.86                     -0.13045063
                  0.8675                     -0.12694005
                   0.875                      -0.1235277
                  0.8825                     -0.12022329
                    0.89                     -0.11703635
                  0.8975                     -0.11397627
                   0.905                     -0.11105221
                  0.9125                     -0.10827315
                    0.92                     -0.10564779
                  0.9275                      -0.1031846
                   0.935                     -0.10089177
                  0.9425                    -0.098777173
                    0.95                    -0.096848381
                  0.9575                    -0.095112626
                   0.965                    -0.093576785
                  0.9725                    -0.092247363
                    0.98                    -0.091130477
                  0.9875                    -0.090231839
                   0.995                    -0.089556744
                  1.0025                     -0.08911005
                    1.01                    -0.088896169
                  1.0175                    -0.088919053
                   1.025                    -0.089182182
                  1.0325                    -0.089688556
                    1.04                     -0.09044068
                  1.0475                    -0.091440562
                   1.055                    -0.092689702
                  1.0625                    -0.094189089
                    1.07                    -0.095939191
                  1.0775                    -0.097939957
                   1.085                     -0.10019081
                  1.0925                     -0.10269065
                     1.1                     -0.10543786
                  1.1075                     -0.10843028
                   1.115                     -0.11166524
                  1.1225                     -0.11513957
                    1.13                     -0.11884955
                  1.1375                     -0.12279099
                   1.145                     -0.12695918
                  1.1525                     -0.13134893
                    1.16                     -0.13595458
                  1.1675                     -0.14076997
                   1.175                     -0.14578851
                  1.1825                     -0.15100315
                    1.19                     -0.15640643
                  1.1975                     -0.16199046
                   1.205                     -0.16774694
                  1.2125                      -0.1736672
                    1.22                     -0.17974222
                  1.2275                     -0.18596259
                   1.235                      -0.1923186
                  1.2425                     -0.19880024
                    1.25                     -0.20539717
                  1.2575                     -0.21209883
                   1.265                     -0.21889437
                  1.2725                     -0.22577273
                    1.28                     -0.23272264
                  1.2875                     -0.23973266
                   1.295                     -0.24679116
                  1.3025                     -0.25388639
                    1.31                     -0.26100648
                  1.3175                     -0.26813946
                   1.325                     -0.27527329
                  1.3325                     -0.28239588
                    1.34                     -0.28949511
                  1.3475                     -0.29655887
                   1.355                     -0.30357503
                  1.3625                     -0.31053153
                    1.37                     -0.31741637
                  1.3775                     -0.32421763
                   1.385                     -0.33092347
                  1.3925                     -0.33752221
                     1.4                     -0.34400229
                  1.4075                     -0.35035233
                   1.415                     -0.35656114
                  1.4225                     -0.36261773
                    1.43                     -0.36851132
