        Frequency / GHz                S2,2/abs,dB
----------------------------------------------------------------------
                     0.5                      -13.903048
                  0.5075                        -13.8923
                   0.515                      -13.885144
                  0.5225                      -13.881642
                    0.53                      -13.881862
                  0.5375                      -13.885871
                   0.545                      -13.893738
                  0.5525                      -13.905535
                    0.56                      -13.921337
                  0.5675                      -13.941221
                   0.575                      -13.965265
                  0.5825                      -13.993553
                    0.59                       -14.02617
                  0.5975                      -14.063206
                   0.605                      -14.104754
                  0.6125                       -14.15091
                    0.62                      -14.201777
                  0.6275                      -14.257461
                   0.635                      -14.318074
                  0.6425                      -14.383734
                    0.65                      -14.454564
                  0.6575                      -14.530696
                   0.665                      -14.612269
                  0.6725                      -14.699429
                    0.68                      -14.792332
                  0.6875                      -14.891145
                   0.695                      -14.996044
                  0.7025                      -15.107219
                    0.71                      -15.224872
                  0.7175                       -15.34922
                   0.725                      -15.480496
                  0.7325                      -15.618952
                    0.74                      -15.764858
                  0.7475                      -15.918508
                   0.755                       -16.08022
                  0.7625                      -16.250337
                    0.77                      -16.429236
                  0.7775                      -16.617327
                   0.785                      -16.815057
                  0.7925                      -17.022919
                     0.8                      -17.241452
                  0.8075                      -17.471255
                   0.815                      -17.712986
                  0.8225                       -17.96738
                    0.83                      -18.235254
                  0.8375                      -18.517521
                   0.845                      -18.815208
                  0.8525                      -19.129475
                    0.86                      -19.461634
                  0.8675                      -19.813184
                   0.875                      -20.185841
                  0.8825                      -20.581587
                    0.89                      -21.002723
                  0.8975                      -21.451945
                   0.905                      -21.932436
                  0.9125                      -22.447993
                    0.92                      -23.003192
                  0.9275                       -23.60362
                   0.935                      -24.256194
                  0.9425                      -24.969615
                    0.95                      -25.755044
                  0.9575                      -26.627122
                   0.965                      -27.605579
                  0.9725                      -28.717905
                    0.98                      -30.004014
                  0.9875                      -31.525056
                   0.995                      -33.381644
                  1.0025                      -35.756886
                    1.01                       -39.03874
                  1.0175                      -44.281568
                   1.025                      -53.902382
                  1.0325                      -45.891513
                    1.04                      -39.873875
                  1.0475                      -36.268648
                   1.055                      -33.709641
                  1.0625                      -31.728116
                    1.07                      -30.112193
                  1.0775                      -28.748572
                   1.085                       -27.56967
                  1.0925                      -26.531963
                     1.1                      -25.605788
                  1.1075                      -24.770023
                   1.115                        -24.0091
                  1.1225                      -23.311212
                    1.13                      -22.667197
                  1.1375                        -22.0698
                   1.145                      -21.513179
                  1.1525                      -20.992562
                    1.16                         -20.504
                  1.1675                      -20.044189
                   1.175                      -19.610334
                  1.1825                      -19.200055
                    1.19                      -18.811305
                  1.1975                       -18.44231
                   1.205                      -18.091527
                  1.2125                      -17.757601
                    1.22                      -17.439338
                  1.2275                       -17.13568
                   1.235                      -16.845687
                  1.2425                      -16.568517
                    1.25                      -16.303414
                  1.2575                      -16.049698
                   1.265                      -15.806756
                  1.2725                      -15.574028
                    1.28                      -15.351009
                  1.2875                      -15.137237
                   1.295                      -14.932288
                  1.3025                      -14.735775
                    1.31                      -14.547344
                  1.3175                      -14.366667
                   1.325                      -14.193441
                  1.3325                      -14.027389
                    1.34                      -13.868252
                  1.3475                      -13.715792
                   1.355                      -13.569787
                  1.3625                      -13.430032
                    1.37                      -13.296334
                  1.3775                      -13.168517
                   1.385                      -13.046414
                  1.3925                      -12.929871
                     1.4                      -12.818745
                  1.4075                      -12.712901
                   1.415                      -12.612215
                  1.4225                       -12.51657
                    1.43                       -12.42586
                  1.4375                      -12.339982
                   1.445                      -12.258843
                  1.4525                      -12.182358
                    1.46                      -12.110446
                  1.4675                      -12.043033
                   1.475                      -11.980051
                  1.4825                      -11.921439
                    1.49                      -11.867138
                  1.4975                      -11.817099
                   1.505                      -11.771274
                  1.5125                      -11.729623
                    1.52                       -11.69211
                  1.5275                      -11.658702
                   1.535                      -11.629374
                  1.5425                      -11.604103
                    1.55                      -11.582872
                  1.5575                      -11.565669
                   1.565                      -11.552487
                  1.5725                      -11.543321
                    1.58                      -11.538173
                  1.5875                       -11.53705
                   1.595                      -11.539962
                  1.6025                      -11.546927
                    1.61                      -11.557963
                   1.611                      -11.559744
                  1.6175                      -11.573098
                   1.625                      -11.592363
                  1.6325                      -11.615794
                    1.64                      -11.643434
                  1.6475                      -11.675329
                   1.655                      -11.711533
                  1.6625                      -11.752107
                    1.67                      -11.797116
                  1.6775                      -11.846632
                   1.685                      -11.900735
                  1.6925                      -11.959513
                     1.7                      -12.023059
                  1.7075                      -12.091476
                   1.715                      -12.164876
                  1.7225                      -12.243378
                    1.73                      -12.327112
                  1.7375                      -12.416218
                   1.745                      -12.510848
                  1.7525                      -12.611164
                    1.76                      -12.717342
                  1.7675                       -12.82957
                   1.775                      -12.948052
                  1.7825                      -13.073008
                    1.79                      -13.204675
                  1.7975                      -13.343308
                   1.805                      -13.489184
                  1.8125                      -13.642601
                    1.82                      -13.803883
                  1.8275                      -13.973381
                   1.835                      -14.151477
                  1.8425                      -14.338585
                    1.85                      -14.535158
                  1.8575                      -14.741691
                   1.865                      -14.958725
                  1.8725                      -15.186856
                    1.88                       -15.42674
                  1.8875                      -15.679102
                   1.895                      -15.944744
                  1.9025                      -16.224561
                    1.91                      -16.519554
                  1.9175                      -16.830841
                   1.925                      -17.159689
                  1.9325                      -17.507529
                    1.94                      -17.875993
                  1.9475                      -18.266953
                   1.955                      -18.682569
                  1.9625                      -19.125349
                    1.97                      -19.598237
