        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                       -10.11279
                  0.5075                      -10.060664
                   0.515                      -10.012027
                  0.5225                      -9.9668165
                    0.53                      -9.9249717
                  0.5375                      -9.8864337
                   0.545                      -9.8511462
                  0.5525                      -9.8190552
                    0.56                      -9.7901093
                  0.5675                      -9.7642596
                   0.575                      -9.7414601
                  0.5825                      -9.7216673
                    0.59                      -9.7048409
                  0.5975                      -9.6909433
                   0.605                        -9.67994
                  0.6125                      -9.6717994
                    0.62                      -9.6664932
                  0.6275                      -9.6639961
                   0.635                      -9.6642859
                  0.6425                      -9.6673437
                    0.65                      -9.6731538
                  0.6575                      -9.6817037
                   0.665                      -9.6929843
                  0.6725                      -9.7069897
                    0.68                      -9.7237174
                  0.6875                      -9.7431683
                   0.695                      -9.7653464
                  0.7025                      -9.7902596
                    0.71                      -9.8179189
                  0.7175                      -9.8483389
                   0.725                      -9.8815379
                  0.7325                      -9.9175375
                    0.74                      -9.9563632
                  0.7475                      -9.9980442
                   0.755                      -10.042613
                  0.7625                      -10.090107
                    0.77                      -10.140567
                  0.7775                      -10.194036
                   0.785                      -10.250565
                  0.7925                      -10.310206
                     0.8                      -10.373016
                  0.8075                      -10.439059
                   0.815                      -10.508399
                  0.8225                       -10.58111
                    0.83                      -10.657267
                  0.8375                      -10.736953
                   0.845                      -10.820255
                  0.8525                      -10.907266
                    0.86                      -10.998086
                  0.8675                       -11.09282
                   0.875                       -11.19158
                  0.8825                      -11.294487
                    0.89                      -11.401668
                  0.8975                      -11.513259
                   0.905                      -11.629403
                  0.9125                      -11.750253
                    0.92                      -11.875974
                  0.9275                      -12.006739
                   0.935                      -12.142734
                  0.9425                      -12.284157
                    0.95                      -12.431219
                  0.9575                      -12.584148
                   0.965                      -12.743185
                  0.9725                      -12.908591
                    0.98                      -13.080645
                  0.9875                      -13.259648
                   0.995                      -13.445924
                  1.0025                      -13.639823
                    1.01                      -13.841723
                  1.0175                      -14.052035
                   1.025                      -14.271205
                  1.0325                      -14.499721
                    1.04                      -14.738113
                  1.0475                      -14.986965
                   1.055                      -15.246916
                  1.0625                      -15.518672
                    1.07                      -15.803014
                  1.0775                      -16.100811
                   1.085                      -16.413028
                  1.0925                      -16.740748
                     1.1                      -17.085189
