        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                     0.5                      -12.719255
                  0.5075                      -12.695859
                   0.515                      -12.675954
                  0.5225                       -12.65956
                    0.53                      -12.646697
                  0.5375                      -12.637386
                   0.545                      -12.631653
                  0.5525                      -12.629522
                    0.56                      -12.631023
                  0.5675                      -12.636187
                   0.575                      -12.645046
                  0.5825                      -12.657637
                    0.59                      -12.673998
                  0.5975                      -12.694171
                   0.605                        -12.7182
                  0.6125                      -12.746133
                    0.62                      -12.778021
                  0.6275                      -12.813918
                   0.635                      -12.853883
                  0.6425                      -12.897978
                    0.65                      -12.946271
                  0.6575                      -12.998832
                   0.665                      -13.055739
                  0.6725                      -13.117072
                    0.68                      -13.182919
                  0.6875                      -13.253374
                   0.695                      -13.328536
                  0.7025                      -13.408512
                    0.71                      -13.493417
                  0.7175                      -13.583372
                   0.725                      -13.678509
                  0.7325                      -13.778969
                    0.74                      -13.884902
                  0.7475                       -13.99647
                   0.755                      -14.113847
                  0.7625                       -14.23722
                    0.77                       -14.36679
                  0.7775                      -14.502774
                   0.785                      -14.645407
                  0.7925                      -14.794941
                     0.8                      -14.951651
                  0.8075                      -15.115831
                   0.815                      -15.287806
                  0.8225                      -15.467924
                    0.83                      -15.656567
                  0.8375                      -15.854152
                   0.845                      -16.061134
                  0.8525                      -16.278014
                    0.86                      -16.505341
                  0.8675                      -16.743721
                   0.875                      -16.993827
                  0.8825                      -17.256402
                    0.89                      -17.532275
                  0.8975                      -17.822375
                   0.905                      -18.127742
                  0.9125                       -18.44955
                    0.92                      -18.789131
                  0.9275                      -19.147999
                   0.935                      -19.527895
                  0.9425                       -19.93082
                    0.95                      -20.359105
                  0.9575                      -20.815476
                   0.965                      -21.303152
                  0.9725                      -21.825976
                    0.98                      -22.388578
                  0.9875                      -22.996616
                   0.995                      -23.657096
                  1.0025                      -24.378844
                    1.01                      -25.173189
                  1.0175                      -26.055019
                   1.025                      -27.044433
                  1.0325                      -28.169508
                    1.04                      -29.471157
                  1.0475                      -31.012361
                   1.055                      -32.897528
                  1.0625                      -35.318979
                    1.07                      -38.693823
                  1.0775                      -44.228106
                   1.085                      -55.806459
                  1.0925                      -45.191578
                     1.1                      -39.166621
                  1.1075                      -35.596105
                   1.115                      -33.062458
                  1.1225                      -31.099539
                    1.13                      -29.498041
                  1.1375                      -28.146163
                   1.145                      -26.977193
                  1.1525                       -25.94814
                    1.16                      -25.029677
                  1.1675                       -24.20091
                   1.175                      -23.446423
                  1.1825                      -22.754518
                    1.19                      -22.116111
                  1.1975                      -21.524005
                   1.205                      -20.972399
                  1.2125                      -20.456555
                    1.22                      -19.972545
                  1.2275                      -19.517085
                   1.235                      -19.087393
                  1.2425                      -18.681097
                    1.25                      -18.296158
                  1.2575                      -17.930808
                   1.265                      -17.583504
                  1.2725                      -17.252893
                    1.28                      -16.937783
                  1.2875                      -16.637113
                   1.295                      -16.349941
                  1.3025                      -16.075423
                    1.31                        -15.8128
                  1.3175                      -15.561389
                   1.325                       -15.32057
                  1.3325                      -15.089782
                    1.34                      -14.868513
                  1.3475                      -14.656296
                   1.355                      -14.452702
                  1.3625                       -14.25734
                    1.37                      -14.069847
                  1.3775                      -13.889891
                   1.385                      -13.717164
                  1.3925                      -13.551381
                     1.4                      -13.392278
                  1.4075                      -13.239609
                   1.415                      -13.093147
                  1.4225                      -12.952679
                    1.43                      -12.818007
                  1.4375                      -12.688947
                   1.445                      -12.565326
                  1.4525                      -12.446983
                    1.46                      -12.333766
                  1.4675                      -12.225535
                   1.475                      -12.122157
                  1.4825                      -12.023509
                    1.49                      -11.929474
                  1.4975                      -11.839945
                   1.505                      -11.754819
                  1.5125                      -11.674002
                    1.52                      -11.597404
                  1.5275                      -11.524944
                   1.535                      -11.456543
                  1.5425                      -11.392129
                    1.55                      -11.331636
                  1.5575                      -11.275002
                   1.565                       -11.22217
                  1.5725                      -11.173085
                    1.58                      -11.127702
                  1.5875                      -11.085974
                   1.595                      -11.047862
                  1.6025                      -11.013331
                    1.61                      -10.982348
                   1.611                      -10.978483
                  1.6175                      -10.954885
                   1.625                      -10.930917
                  1.6325                      -10.910425
                    1.64                       -10.89339
                  1.6475                        -10.8798
                   1.655                      -10.869645
                  1.6625                      -10.862919
                    1.67                       -10.85962
                  1.6775                      -10.859749
                   1.685                       -10.86331
                  1.6925                      -10.870312
                     1.7                      -10.880767
                  1.7075                      -10.894692
                   1.715                      -10.912105
                  1.7225                      -10.933031
                    1.73                      -10.957497
                  1.7375                      -10.985535
                   1.745                       -11.01718
                  1.7525                      -11.052473
                    1.76                      -11.091457
                  1.7675                      -11.134181
                   1.775                        -11.1807
                  1.7825                       -11.23107
                    1.79                      -11.285357
                  1.7975                      -11.343628
                   1.805                      -11.405957
                  1.8125                      -11.472425
                    1.82                      -11.543118
                  1.8275                      -11.618127
                   1.835                      -11.697551
                  1.8425                      -11.781498
                    1.85                       -11.87008
                  1.8575                      -11.963419
                   1.865                      -12.061646
                  1.8725                      -12.164899
                    1.88                      -12.273327
                  1.8875                       -12.38709
                   1.895                      -12.506359
                  1.9025                      -12.631316
                    1.91                      -12.762157
                  1.9175                      -12.899093
                   1.925                      -13.042349
                  1.9325                      -13.192167
                    1.94                      -13.348808
                  1.9475                      -13.512553
                   1.955                      -13.683706
                  1.9625                      -13.862595
                    1.97                      -14.049575
                  1.9775                      -14.245031
                   1.985                      -14.449383
                  1.9925                      -14.663086
                       2                      -14.886641
                  2.0075                      -15.120593
                   2.015                      -15.365544
                  2.0225                      -15.622156
                    2.03                       -15.89116
                  2.0375                       -16.17337
                   2.045                      -16.469692
                  2.0525                      -16.781138
                    2.06                      -17.108847
                  2.0675                      -17.454106
                   2.075                      -17.818376
                  2.0825                      -18.203325
                    2.09                      -18.610872
                  2.0975                      -19.043238
                   2.105                      -19.503013
                  2.1125                      -19.993246
                    2.12                      -20.517558
                  2.1275                      -21.080296
                   2.135                      -21.686745
                  2.1425                      -22.343412
                    2.15                      -23.058444
                  2.1575                      -23.842226
                   2.165                      -24.708285
                  2.1725                      -25.674701
                    2.18                      -26.766412
                  2.1875                      -28.019181
                   2.195                       -29.48692
                  2.2025                      -31.256463
                    2.21                      -33.481148
                  2.2175                      -36.471587
                   2.225                      -41.016904
                  2.2325                      -50.008851
                    2.24                      -47.516185
                  2.2475                       -39.91617
                   2.255                      -35.815381
                  2.2625                      -33.033038
                    2.27                      -30.931986
                  2.2775                      -29.246779
                   2.285                      -27.841989
                  2.2925                      -26.639263
                     2.3                      -25.589216
                  2.3075                      -24.658723
                   2.315                      -23.824485
                  2.3225                      -23.069492
                    2.33                       -22.38095
                  2.3375                       -21.74899
                   2.345                       -21.16584
                  2.3525                      -20.625271
                    2.36                      -20.122214
                  2.3675                      -19.652486
                   2.375                      -19.212597
                  2.3825                      -18.799604
                    2.39                      -18.411002
                  2.3975                      -18.044641
                   2.405                      -17.698663
                  2.4125                       -17.37145
                    2.42                      -17.061586
                  2.4275                      -16.767822
                   2.435                      -16.489053
                  2.4425                      -16.224296
                    2.45                      -15.972674
                  2.4575                      -15.733399
                   2.465                      -15.505763
                  2.4725                      -15.289124
                    2.48                      -15.082903
                  2.4875                      -14.886572
                   2.495                      -14.699652
                  2.5025                      -14.521703
                    2.51                      -14.352324
                  2.5175                      -14.191146
                   2.525                      -14.037832
                  2.5325                      -13.892069
                    2.54                      -13.753571
                  2.5475                      -13.622072
                   2.555                      -13.497327
                  2.5625                       -13.37911
                    2.57                      -13.267211
                  2.5775                      -13.161434
                   2.585                        -13.0616
                  2.5925                      -12.967542
                     2.6                      -12.879104
                  2.6075                      -12.796141
                   2.615                      -12.718521
                  2.6225                      -12.646118
                    2.63                      -12.578818
                  2.6375                      -12.516515
                   2.645                      -12.459108
                  2.6525                      -12.406506
                    2.66                      -12.358626
                  2.6675                      -12.315387
                   2.675                      -12.276719
                  2.6825                      -12.242556
                    2.69                      -12.212835
                  2.6975                      -12.187501
                   2.705                      -12.166504
                  2.7125                      -12.149796
                    2.72                      -12.137337
                  2.7275                      -12.129087
                   2.735                      -12.125012
                  2.7425                      -12.125083
                    2.75                      -12.129272
                  2.7575                      -12.137556
                   2.765                      -12.149915
                  2.7725                       -12.16633
                    2.78                      -12.186788
                  2.7875                      -12.211275
                   2.795                      -12.239784
                  2.8025                      -12.272305
                    2.81                      -12.308836
                  2.8175                      -12.349373
                   2.825                      -12.393915
                  2.8325                      -12.442463
                    2.84                       -12.49502
                  2.8475                      -12.551591
                   2.855                      -12.612181
                  2.8625                      -12.676798
                    2.87                       -12.74545
                  2.8775                      -12.818146
                   2.885                      -12.894898
                  2.8925                      -12.975717
                     2.9                      -13.060615
                  2.9075                      -13.149605
                   2.915                      -13.242701
                  2.9225                      -13.339916
                    2.93                      -13.441265
                  2.9375                      -13.546761
                   2.945                      -13.656419
                  2.9525                      -13.770254
                    2.96                      -13.888278
                  2.9675                      -14.010505
                   2.975                      -14.136949
                  2.9825                       -14.26762
                    2.99                      -14.402531
                  2.9975                      -14.541689
                   3.005                      -14.685105
                  3.0125                      -14.832784
                    3.02                      -14.984732
                  3.0275                      -15.140951
                   3.035                      -15.301441
                  3.0425                        -15.4662
                    3.05                      -15.635222
                  3.0575                      -15.808497
                   3.065                      -15.986013
                  3.0725                      -16.167751
                    3.08                      -16.353689
                  3.0875                        -16.5438
                   3.095                      -16.738048
                  3.1025                      -16.936392
                    3.11                      -17.138784
                  3.1175                      -17.345167
                   3.125                      -17.555474
                   3.132                      -17.755233
                  3.1325                      -17.769628
                    3.14                      -17.987541
                  3.1475                      -18.209113
                   3.155                      -18.434227
                  3.1625                      -18.662755
                    3.17                      -18.894548
                  3.1775                       -19.12944
                   3.185                      -19.367247
                  3.1925                      -19.607757
                     3.2                       -19.85074
                  3.2075                      -20.095934
                   3.215                       -20.34305
                  3.2225                      -20.591769
