        Frequency / GHz                S2,2/abs,dB
----------------------------------------------------------------------
                     0.5                      -11.759947
                  0.5075                      -11.754348
                   0.515                      -11.751167
                  0.5225                      -11.750477
                    0.53                      -11.752351
                  0.5375                      -11.756866
                   0.545                      -11.764098
                  0.5525                      -11.774127
                    0.56                      -11.787033
                  0.5675                      -11.802899
                   0.575                      -11.821809
                  0.5825                      -11.843851
                    0.59                      -11.869115
                  0.5975                      -11.897692
                   0.605                      -11.929677
                  0.6125                      -11.965168
                    0.62                      -12.004265
                  0.6275                      -12.047074
                   0.635                      -12.093701
                  0.6425                      -12.144259
                    0.65                      -12.198863
                  0.6575                      -12.257635
                   0.665                      -12.320699
                  0.6725                      -12.388185
                    0.68                      -12.460231
                  0.6875                      -12.536977
                   0.695                      -12.618575
                  0.7025                      -12.705178
                    0.71                      -12.796953
                  0.7175                       -12.89407
                   0.725                      -12.996713
                  0.7325                      -13.105074
                    0.74                      -13.219355
                  0.7475                      -13.339773
                   0.755                      -13.466556
                  0.7625                      -13.599949
                    0.77                      -13.740212
                  0.7775                      -13.887622
                   0.785                       -14.04248
                  0.7925                      -14.205105
                     0.8                      -14.375844
                  0.8075                      -14.555069
                   0.815                      -14.743185
                  0.8225                      -14.940632
                    0.83                      -15.147888
                  0.8375                      -15.365477
                   0.845                      -15.593971
                  0.8525                      -15.834002
                    0.86                      -16.086266
                  0.8675                      -16.351536
                   0.875                       -16.63067
                  0.8825                      -16.924629
                    0.89                      -17.234488
                  0.8975                      -17.561464
                   0.905                      -17.906935
                  0.9125                      -18.272473
                    0.92                       -18.65988
                  0.9275                      -19.071241
                   0.935                      -19.508981
                  0.9425                      -19.975945
                    0.95                      -20.475504
                  0.9575                       -21.01169
                   0.965                      -21.589382
                  0.9725                      -22.214562
                    0.98                      -22.894675
                  0.9875                      -23.639148
                   0.995                       -24.46016
                  1.0025                      -25.373838
                    1.01                      -26.402158
                  1.0175                      -27.576182
                   1.025                      -28.941862
                  1.0325                      -30.571412
                    1.04                      -32.588117
                  1.0475                      -35.229807
                   1.055                      -39.057485
                  1.0625                      -46.078953
                    1.07                      -57.599116
                  1.0775                      -42.533916
                   1.085                      -37.281375
                  1.0925                      -34.030011
                     1.1                      -31.670561
                  1.1075                      -29.818836
                   1.115                      -28.295681
                  1.1225                      -27.002903
                    1.13                      -25.880816
                  1.1375                      -24.890417
                   1.145                      -24.004811
                  1.1525                      -23.204664
                    1.16                      -22.475613
                  1.1675                      -21.806691
                   1.175                      -21.189337
                  1.1825                       -20.61674
                    1.19                       -20.08339
                  1.1975                      -19.584767
                   1.205                      -19.117119
                  1.2125                      -18.677295
                    1.22                      -18.262622
                  1.2275                      -17.870818
                   1.235                      -17.499914
                  1.2425                      -17.148202
                    1.25                      -16.814189
                  1.2575                      -16.496566
                   1.265                      -16.194173
                  1.2725                      -15.905984
                    1.28                      -15.631083
                  1.2875                      -15.368649
                   1.295                      -15.117947
                  1.3025                       -14.87831
                    1.31                      -14.649138
                  1.3175                      -14.429885
                   1.325                      -14.220054
                  1.3325                      -14.019192
                    1.34                      -13.826885
                  1.3475                      -13.642751
                   1.355                      -13.466443
                  1.3625                      -13.297637
                    1.37                      -13.136039
                  1.3775                      -12.981374
                   1.385                      -12.833389
                  1.3925                      -12.691849
                     1.4                      -12.556538
                  1.4075                      -12.427252
                   1.415                      -12.303806
                  1.4225                      -12.186023
                    1.43                      -12.073743
                  1.4375                      -11.966815
                   1.445                      -11.865097
                  1.4525                       -11.76846
                    1.46                      -11.676781
                  1.4675                      -11.589948
                   1.475                      -11.507855
                  1.4825                      -11.430403
                    1.49                      -11.357503
                  1.4975                      -11.289071
                   1.505                      -11.225027
                  1.5125                      -11.165302
                    1.52                      -11.109827
                  1.5275                      -11.058543
                   1.535                      -11.011395
                  1.5425                      -10.968331
                    1.55                      -10.929306
                  1.5575                      -10.894279
                   1.565                      -10.863215
                  1.5725                      -10.836081
                    1.58                       -10.81285
                  1.5875                      -10.793499
                   1.595                      -10.778009
                  1.6025                      -10.766364
                    1.61                      -10.758555
                   1.611                      -10.757804
                  1.6175                      -10.754575
                   1.625                      -10.754422
                  1.6325                      -10.758096
                    1.64                      -10.765604
                  1.6475                      -10.776955
                   1.655                      -10.792164
                  1.6625                      -10.811249
                    1.67                      -10.834232
                  1.6775                      -10.861139
                   1.685                      -10.892004
                  1.6925                       -10.92686
                     1.7                      -10.965749
                  1.7075                      -11.008716
                   1.715                      -11.055812
                  1.7225                      -11.107092
                    1.73                      -11.162617
                  1.7375                      -11.222453
                   1.745                      -11.286673
                  1.7525                      -11.355356
                    1.76                      -11.428586
                  1.7675                      -11.506454
                   1.775                       -11.58906
                  1.7825                      -11.676509
                    1.79                      -11.768917
                  1.7975                      -11.866404
                   1.805                      -11.969104
                  1.8125                      -12.077156
                    1.82                      -12.190713
                  1.8275                      -12.309937
                   1.835                      -12.435002
                  1.8425                      -12.566096
                    1.85                      -12.703419
                  1.8575                      -12.847187
                   1.865                      -12.997633
                  1.8725                      -13.155006
                    1.88                      -13.319576
                  1.8875                      -13.491634
                   1.895                      -13.671493
                  1.9025                      -13.859496
                    1.91                      -14.056009
                  1.9175                      -14.261434
                   1.925                      -14.476208
                  1.9325                      -14.700808
                    1.94                      -14.935753
                  1.9475                      -15.181616
                   1.955                      -15.439027
                  1.9625                       -15.70868
                    1.97                      -15.991343
                  1.9775                      -16.287872
                   1.985                      -16.599222
                  1.9925                      -16.926462
                       2                      -17.270798
                  2.0075                      -17.633592
                   2.015                      -18.016398
                  2.0225                      -18.420994
                    2.03                       -18.84943
                  2.0375                      -19.304087
                   2.045                      -19.787751
                  2.0525                      -20.303716
                    2.06                      -20.855912
                  2.0675                      -21.449079
                   2.075                      -22.089014
                  2.0825                      -22.782909
                    2.09                      -23.539836
                  2.0975                       -24.37147
                   2.105                      -25.293193
                  2.1125                      -26.325855
                    2.12                      -27.498717
                  2.1275                       -28.85469
                   2.135                      -30.460423
                  2.1425                      -32.427833
                    2.15                      -34.967408
                  2.1575                      -38.553762
                   2.165                      -44.706834
                  2.1725                      -61.621489
                    2.18                      -44.088425
                  2.1875                       -38.31197
                   2.195                      -34.885376
                  2.2025                      -32.449889
                    2.21                      -30.564179
                  2.2175                      -29.028953
                   2.225                      -27.737115
                  2.2325                      -26.624438
                    2.24                      -25.649362
                  2.2475                      -24.783441
                   2.255                       -24.00635
                  2.2625                      -23.303061
                    2.27                      -22.662147
                  2.2775                      -22.074717
                   2.285                      -21.533717
                  2.2925                      -21.033457
                     2.3                      -20.569279
                  2.3075                      -20.137323
                   2.315                      -19.734354
                  2.3225                      -19.357635
                    2.33                      -19.004828
                  2.3375                      -18.673922
                   2.345                      -18.363175
                  2.3525                      -18.071065
                    2.36                       -17.79626
                  2.3675                      -17.537584
                   2.375                      -17.293994
                  2.3825                      -17.064563
                    2.39                      -16.848463
                  2.3975                       -16.64495
                   2.405                      -16.453356
                  2.4125                      -16.273077
                    2.42                      -16.103566
                  2.4275                       -15.94433
                   2.435                      -15.794916
                  2.4425                      -15.654916
                    2.45                      -15.523955
                  2.4575                      -15.401691
                   2.465                       -15.28781
                  2.4725                      -15.182027
                    2.48                      -15.084079
                  2.4875                      -14.993724
                   2.495                      -14.910743
                  2.5025                      -14.834931
                    2.51                      -14.766104
                  2.5175                      -14.704091
                   2.525                      -14.648735
                  2.5325                      -14.599893
                    2.54                      -14.557434
                  2.5475                       -14.52124
                   2.555                        -14.4912
                  2.5625                      -14.467216
                    2.57                      -14.449199
                  2.5775                      -14.437066
                   2.585                      -14.430745
                  2.5925                       -14.43017
                     2.6                      -14.435283
                  2.6075                      -14.446031
                   2.615                       -14.46237
                  2.6225                      -14.484258
                    2.63                      -14.511662
                  2.6375                      -14.544551
                   2.645                      -14.582901
                  2.6525                      -14.626691
                    2.66                      -14.675904
                  2.6675                      -14.730527
                   2.675                       -14.79055
                  2.6825                      -14.855966
                    2.69                      -14.926769
                  2.6975                      -15.002957
                   2.705                       -15.08453
                  2.7125                      -15.171487
                    2.72                      -15.263829
                  2.7275                      -15.361559
                   2.735                      -15.464678
                  2.7425                      -15.573187
                    2.75                      -15.687086
                  2.7575                      -15.806375
                   2.765                      -15.931049
                  2.7725                      -16.061102
                    2.78                      -16.196525
                  2.7875                      -16.337303
                   2.795                      -16.483418
                  2.8025                      -16.634845
                    2.81                      -16.791553
                  2.8175                      -16.953502
                   2.825                      -17.120646
                  2.8325                      -17.292926
                    2.84                      -17.470273
                  2.8475                      -17.652606
                   2.855                      -17.839831
                  2.8625                      -18.031835
                    2.87                      -18.228491
                  2.8775                      -18.429653
                   2.885                      -18.635151
                  2.8925                      -18.844795
                     2.9                      -19.058368
                  2.9075                      -19.275626
                   2.915                      -19.496295
                  2.9225                      -19.720067
                    2.93                        -19.9466
                  2.9375                      -20.175512
                   2.945                      -20.406382
                  2.9525                      -20.638744
                    2.96                      -20.872085
