        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                     0.5                       -0.665847
                  0.5075                     -0.67248253
                   0.515                     -0.67872815
                  0.5225                     -0.68457206
                    0.53                     -0.69000341
                  0.5375                     -0.69501226
                   0.545                     -0.69958957
                  0.5525                      -0.7037272
                    0.56                     -0.70741787
                  0.5675                     -0.71065515
                   0.575                     -0.71343345
                  0.5825                     -0.71574799
                    0.59                     -0.71759481
                  0.5975                     -0.71897072
                   0.605                     -0.71987333
                  0.6125                     -0.72030098
                    0.62                     -0.72025277
                  0.6275                     -0.71972855
                   0.635                     -0.71872886
                  0.6425                     -0.71725498
                    0.65                     -0.71530887
                  0.6575                     -0.71289318
                   0.665                     -0.71001125
                  0.6725                     -0.70666708
                    0.68                      -0.7028653
                  0.6875                     -0.69861124
                   0.695                     -0.69391082
                  0.7025                     -0.68877061
                    0.71                     -0.68319779
                  0.7175                     -0.67720017
                   0.725                     -0.67078613
                  0.7325                     -0.66396468
                    0.74                     -0.65674538
                  0.7475                     -0.64913838
                   0.755                      -0.6411544
                  0.7625                     -0.63280472
                    0.77                     -0.62410114
                  0.7775                     -0.61505603
                   0.785                     -0.60568227
                  0.7925                     -0.59599326
                     0.8                     -0.58600292
                  0.8075                     -0.57572563
                   0.815                     -0.56517629
                  0.8225                     -0.55437025
                    0.83                      -0.5433233
                  0.8375                     -0.53205171
                   0.845                     -0.52057215
                  0.8525                      -0.5089017
                    0.86                     -0.49705784
                  0.8675                     -0.48505842
                   0.875                     -0.47292165
                  0.8825                     -0.46066608
                    0.89                     -0.44831056
                  0.8975                     -0.43587425
                   0.905                     -0.42337656
                  0.9125                     -0.41083717
                    0.92                     -0.39827595
                  0.9275                     -0.38571299
                   0.935                      -0.3731685
                  0.9425                     -0.36066288
                    0.95                     -0.34821657
                  0.9575                     -0.33585014
                   0.965                     -0.32358416
                  0.9725                     -0.31143921
                    0.98                     -0.29943585
                  0.9875                     -0.28759454
                   0.995                     -0.27593568
                  1.0025                     -0.26447948
                    1.01                       -0.253246
                  1.0175                     -0.24225506
                   1.025                     -0.23152622
                  1.0325                     -0.22107874
                    1.04                     -0.21093153
                  1.0475                     -0.20110312
                   1.055                      -0.1916116
                  1.0625                     -0.18247461
                    1.07                     -0.17370926
                  1.0775                     -0.16533212
                   1.085                     -0.15735918
                  1.0925                     -0.14980578
                     1.1                      -0.1426866
                  1.1075                     -0.13601562
                   1.115                     -0.12980608
                  1.1225                     -0.12407044
                    1.13                     -0.11882035
                  1.1375                     -0.11406663
                   1.145                     -0.10981922
                  1.1525                     -0.10608717
                    1.16                     -0.10287861
                  1.1675                     -0.10020073
                   1.175                    -0.098059763
                  1.1825                    -0.096460945
                    1.19                    -0.095408533
                  1.1975                    -0.094905775
                   1.205                    -0.094954904
                  1.2125                    -0.095557131
                    1.22                    -0.096712648
                  1.2275                    -0.098420618
                   1.235                     -0.10067919
                  1.2425                     -0.10348549
                    1.25                     -0.10683565
                  1.2575                      -0.1107248
                   1.265                     -0.11514708
                  1.2725                      -0.1200957
                    1.28                     -0.12556289
                  1.2875                     -0.13153999
                   1.295                     -0.13801742
                  1.3025                     -0.14498476
                    1.31                     -0.15243072
                  1.3175                     -0.16034322
                   1.325                     -0.16870941
                  1.3325                     -0.17751568
                    1.34                     -0.18674774
                  1.3475                      -0.1963906
                   1.355                     -0.20642868
                  1.3625                     -0.21684579
                    1.37                     -0.22762517
                  1.3775                      -0.2387496
                   1.385                     -0.25020135
                  1.3925                     -0.26196228
                     1.4                     -0.27401386
                  1.4075                     -0.28633723
                   1.415                     -0.29891321
                  1.4225                     -0.31172238
                    1.43                     -0.32474506
                  1.4375                     -0.33796144
                   1.445                     -0.35135152
                  1.4525                     -0.36489522
                    1.46                     -0.37857239
                  1.4675                     -0.39236286
                   1.475                     -0.40624643
                  1.4825                     -0.42020298
                    1.49                     -0.43421243
                  1.4975                     -0.44825481
                   1.505                      -0.4623103
                  1.5125                     -0.47635922
                    1.52                     -0.49038209
                  1.5275                     -0.50435965
                   1.535                     -0.51827288
                  1.5425                     -0.53210301
                    1.55                     -0.54583159
                  1.5575                     -0.55944044
                   1.565                     -0.57291175
                  1.5725                     -0.58622803
                    1.58                     -0.59937215
                  1.5875                      -0.6123274
                   1.595                     -0.62507742
                  1.6025                      -0.6376063
                    1.61                     -0.64989852
                   1.611                     -0.65151879
                  1.6175                     -0.66193903
                   1.625                      -0.6737132
                  1.6325                     -0.68520686
                    1.64                     -0.69640633
                  1.6475                     -0.70729837
                   1.655                     -0.71787025
                  1.6625                     -0.72810971
                    1.67                       -0.738005
                  1.6775                     -0.74754486
                   1.685                     -0.75671854
                  1.6925                     -0.76551579
                     1.7                     -0.77392689
                  1.7075                     -0.78194261
                   1.715                     -0.78955428
                  1.7225                      -0.7967537
                    1.73                     -0.80353323
                  1.7375                     -0.80988575
                   1.745                     -0.81580466
                  1.7525                     -0.82128388
                    1.76                     -0.82631787
                  1.7675                     -0.83090162
                   1.775                     -0.83503064
                  1.7825                     -0.83870097
                    1.79                     -0.84190918
                  1.7975                     -0.84465238
                   1.805                      -0.8469282
                  1.8125                     -0.84873479
                    1.82                     -0.85007084
                  1.8275                     -0.85093556
                   1.835                      -0.8513287
                  1.8425                     -0.85125051
                    1.85                     -0.85070178
                  1.8575                     -0.84968383
                   1.865                     -0.84819849
                  1.8725                     -0.84624811
                    1.88                     -0.84383557
                  1.8875                     -0.84096426
                   1.895                     -0.83763808
                  1.9025                     -0.83386145
                    1.91                     -0.82963931
                  1.9175                     -0.82497709
                   1.925                     -0.81988074
                  1.9325                     -0.81435671
                    1.94                     -0.80841196
                  1.9475                     -0.80205392
                   1.955                     -0.79529055
                  1.9625                     -0.78813026
                    1.97                     -0.78058199
                  1.9775                     -0.77265511
                   1.985                     -0.76435951
                  1.9925                     -0.75570551
                       2                     -0.74670392
                  2.0075                     -0.73736599
                   2.015                     -0.72770342
                  2.0225                     -0.71772836
                    2.03                     -0.70745338
                  2.0375                     -0.69689147
                   2.045                     -0.68605603
                  2.0525                     -0.67496086
                    2.06                     -0.66362017
                  2.0675                      -0.6520485
                   2.075                     -0.64026079
                  2.0825                     -0.62827231
                    2.09                     -0.61609867
                  2.0975                     -0.60375578
                   2.105                     -0.59125985
                  2.1125                     -0.57862739
                    2.12                     -0.56587514
                  2.1275                      -0.5530201
                   2.135                     -0.54007947
                  2.1425                     -0.52707067
                    2.15                     -0.51401126
                  2.1575                     -0.50091897
                   2.165                     -0.48781163
                  2.1725                     -0.47470719
                    2.18                     -0.46162365
                  2.1875                     -0.44857905
                   2.195                     -0.43559144
                  2.2025                     -0.42267884
                    2.21                     -0.40985922
                  2.2175                     -0.39715049
                   2.225                     -0.38457041
                  2.2325                      -0.3721366
                    2.24                      -0.3598665
                  2.2475                     -0.34777734
                   2.255                     -0.33588607
                  2.2625                      -0.3242094
                    2.27                     -0.31276367
                  2.2775                      -0.3015649
                   2.285                      -0.2906287
                  2.2925                     -0.27997027
                     2.3                     -0.26960435
                  2.3075                     -0.25954518
                   2.315                     -0.24980649
