        Frequency / GHz                S2,2/abs,dB
----------------------------------------------------------------------
                     0.5                      -12.720693
                  0.5075                      -12.696658
                   0.515                      -12.676156
                  0.5225                      -12.659209
                    0.53                      -12.645844
                  0.5375                      -12.636089
                   0.545                      -12.629971
                  0.5525                      -12.627521
                    0.56                      -12.628769
                  0.5675                      -12.633748
                   0.575                      -12.642494
                  0.5825                      -12.655042
                    0.59                      -12.671432
                  0.5975                      -12.691704
                   0.605                      -12.715902
                  0.6125                      -12.744072
                    0.62                      -12.776263
                  0.6275                      -12.812526
                   0.635                      -12.852918
                  0.6425                      -12.897498
                    0.65                      -12.946328
                  0.6575                      -12.999476
                   0.665                      -13.057014
                  0.6725                      -13.119018
                    0.68                      -13.185572
                  0.6875                      -13.256762
                   0.695                      -13.332684
                  0.7025                      -13.413439
                    0.71                      -13.499135
                  0.7175                      -13.589888
                   0.725                      -13.685824
                  0.7325                      -13.787078
                    0.74                      -13.893793
                  0.7475                      -14.006126
                   0.755                      -14.124244
                  0.7625                      -14.248327
                    0.77                      -14.378572
                  0.7775                      -14.515188
                   0.785                      -14.658404
                  0.7925                      -14.808466
                     0.8                      -14.965643
                  0.8075                      -15.130223
                   0.815                      -15.302523
                  0.8225                      -15.482887
                    0.83                      -15.671689
                  0.8375                      -15.869341
                   0.845                      -16.076291
                  0.8525                      -16.293032
                    0.86                      -16.520107
                  0.8675                      -16.758114
                   0.875                      -17.007718
                  0.8825                      -17.269652
                    0.89                      -17.544738
                  0.8975                      -17.833892
                   0.905                      -18.138141
                  0.9125                      -18.458647
                    0.92                      -18.796722
                  0.9275                      -19.153864
                   0.935                      -19.531785
                  0.9425                      -19.932459
                    0.95                       -20.35818
                  0.9575                      -20.811624
                   0.965                      -21.295954
                  0.9725                       -21.81493
                    0.98                      -22.373082
                  0.9875                      -22.975923
                   0.995                      -23.630266
                  1.0025                      -24.344657
                    1.01                       -25.13002
                  1.0175                      -26.000622
                   1.025                      -26.975584
                  1.0325                      -28.081342
                    1.04                      -29.355869
                  1.0475                      -30.856397
                   1.055                      -32.674647
                  1.0625                      -34.969721
                    1.07                      -38.045315
                  1.0775                      -42.495416
                   1.085                      -47.550792
                  1.0925                      -43.834371
                     1.1                      -38.921714
                  1.1075                      -35.552326
                   1.115                      -33.076077
                  1.1225                      -31.132849
                    1.13                      -29.538087
                  1.1375                      -28.187749
                   1.145                      -27.018048
                  1.1525                      -25.987232
                    1.16                      -25.066551
                  1.1675                      -24.235391
                   1.175                      -23.478478
                  1.1825                      -22.784191
                    1.19                      -22.143483
                  1.1975                      -21.549175
                   1.205                      -20.995477
                  1.2125                      -20.477652
                    1.22                      -19.991774
                  1.2275                      -19.534554
                   1.235                      -19.103211
                  1.2425                      -18.695368
                    1.25                      -18.308983
                  1.2575                      -17.942283
                   1.265                      -17.593725
                  1.2725                      -17.261951
                    1.28                      -16.945764
                  1.2875                      -16.644104
                   1.295                      -16.356023
                  1.3025                      -16.080674
                    1.31                      -15.817297
                  1.3175                      -15.565204
                   1.325                      -15.323774
                  1.3325                      -15.092441
                    1.34                       -14.87069
                  1.3475                      -14.658052
                   1.355                      -14.454095
                  1.3625                      -14.258424
                    1.37                      -14.070673
                  1.3775                      -13.890507
                   1.385                      -13.717614
                  1.3925                      -13.551706
                     1.4                      -13.392516
                  1.4075                      -13.239796
                   1.415                      -13.093313
                  1.4225                      -12.952853
                    1.43                      -12.818214
                  1.4375                      -12.689207
