        Frequency / GHz                S2,2/abs,dB
----------------------------------------------------------------------
                     0.5                      -10.640537
                  0.5075                       -10.59825
                   0.515                      -10.559292
                  0.5225                      -10.523661
                    0.53                       -10.49136
                  0.5375                      -10.462387
                   0.545                      -10.436744
                  0.5525                      -10.414433
                    0.56                      -10.395456
                  0.5675                      -10.379818
                   0.575                      -10.367523
                  0.5825                      -10.358576
                    0.59                      -10.352986
                  0.5975                      -10.350759
                   0.605                      -10.351908
                  0.6125                      -10.356442
                    0.62                      -10.364375
                  0.6275                      -10.375724
                   0.635                      -10.390505
                  0.6425                      -10.408739
                    0.65                      -10.430447
                  0.6575                      -10.455654
                   0.665                      -10.484387
                  0.6725                      -10.516678
                    0.68                      -10.552558
                  0.6875                      -10.592066
                   0.695                      -10.635241
                  0.7025                      -10.682128
                    0.71                      -10.732774
                  0.7175                       -10.78723
                   0.725                      -10.845555
                  0.7325                      -10.907809
                    0.74                      -10.974059
                  0.7475                      -11.044375
                   0.755                      -11.118836
                  0.7625                      -11.197525
                    0.77                      -11.280531
                  0.7775                      -11.367952
                   0.785                      -11.459891
                  0.7925                      -11.556461
                     0.8                      -11.657781
                  0.8075                      -11.763983
                   0.815                      -11.875203
                  0.8225                      -11.991594
                    0.83                      -12.113314
                  0.8375                      -12.240539
                   0.845                      -12.373454
                  0.8525                      -12.512261
                    0.86                      -12.657176
                  0.8675                      -12.808434
                   0.875                      -12.966287
                  0.8825                      -13.131009
                    0.89                      -13.302897
                  0.8975                       -13.48227
                   0.905                      -13.669479
                  0.9125                      -13.864904
                    0.92                      -14.068959
                  0.9275                      -14.282096
                   0.935                      -14.504813
                  0.9425                      -14.737653
                    0.95                      -14.981218
                  0.9575                       -15.23617
                   0.965                      -15.503243
                  0.9725                      -15.783255
                    0.98                      -16.077116
                  0.9875                      -16.385849
                   0.995                      -16.710604
                  1.0025                      -17.052683
                    1.01                      -17.413564
                  1.0175                       -17.79494
                   1.025                       -18.19876
                  1.0325                      -18.627282
                    1.04                      -19.083143
                  1.0475                      -19.569452
                   1.055                      -20.089903
                  1.0625                      -20.648942
                    1.07                      -21.251976
                  1.0775                      -21.905678
                   1.085                      -22.618415
                  1.0925                       -23.40087
                     1.1                      -24.266992
                  1.1075                      -25.235469
                   1.115                      -26.332145
                  1.1225                      -27.594199
                    1.13                      -29.077874
                  1.1375                      -30.874077
                   1.145                      -33.143769
                  1.1525                      -36.212117
                    1.16                      -40.876546
                  1.1675                      -48.792125
                   1.175                      -44.646333
                  1.1825                      -38.371801
                    1.19                      -34.596304
                  1.1975                      -31.944645
                   1.205                      -29.907758
                  1.2125                      -28.256432
                    1.22                      -26.869188
                  1.2275                      -25.674142
                   1.235                      -24.625311
                  1.2425                      -23.691523
                    1.25                       -22.85068
                  1.2575                      -22.086555
                   1.265                       -21.38688
                  1.2725                      -20.742157
                    1.28                      -20.144882
                  1.2875                      -19.589024
                   1.295                      -19.069662
                  1.3025                      -18.582729
                    1.31                      -18.124823
                  1.3175                      -17.693073
                   1.325                       -17.28503
                  1.3325                      -16.898589
                    1.34                      -16.531928
                  1.3475                      -16.183459
                   1.355                      -15.851787
                  1.3625                      -15.535686
                    1.37                      -15.234063
                  1.3775                      -14.945948
                   1.385                      -14.670472
                  1.3925                      -14.406854
                     1.4                      -14.154388
                  1.4075                      -13.912437
                   1.415                       -13.68042
                  1.4225                      -13.457809
                    1.43                      -13.244121
                  1.4375                      -13.038914
                   1.445                      -12.841779
                  1.4525                      -12.652343
                    1.46                      -12.470259
                  1.4675                      -12.295207
                   1.475                       -12.12689
                  1.4825                      -11.965032
                    1.49                      -11.809376
                  1.4975                      -11.659683
                   1.505                      -11.515731
                  1.5125                      -11.377309
                    1.52                      -11.244224
                  1.5275                      -11.116292
                   1.535                      -10.993341
                  1.5425                       -10.87521
                    1.55                      -10.761748
                  1.5575                      -10.652813
                   1.565                       -10.54827
                  1.5725                      -10.447993
                    1.58                      -10.351863
                  1.5875                      -10.259769
                   1.595                      -10.171605
                  1.6025                      -10.087272
                    1.61                      -10.006675
                   1.611                      -9.9962066
                  1.6175                       -9.929727
                   1.625                      -9.8563439
                  1.6325                      -9.7864476
                    1.64                      -9.7199643
                  1.6475                      -9.6568247
                   1.655                      -9.5969636
                  1.6625                      -9.5403197
                    1.67                      -9.4868358
                  1.6775                      -9.4364582
                   1.685                      -9.3891368
                  1.6925                      -9.3448249
                     1.7                       -9.303479
                  1.7075                       -9.265059
                   1.715                      -9.2295277
                  1.7225                       -9.196851
                    1.73                      -9.1669978
                  1.7375                      -9.1399397
                   1.745                      -9.1156511
                  1.7525                      -9.0941093
                    1.76                      -9.0752941
                  1.7675                       -9.059188
                   1.775                      -9.0457761
                  1.7825                       -9.035046
                    1.79                      -9.0269879
                  1.7975                      -9.0215945
                   1.805                       -9.018861
                  1.8125                       -9.018785
                    1.82                      -9.0213666
                  1.8275                      -9.0266086
                   1.835                      -9.0345159
                  1.8425                      -9.0450962
                    1.85                      -9.0583594
                  1.8575                      -9.0743183
                   1.865                      -9.0929879
                  1.8725                      -9.1143859
                    1.88                      -9.1385327
                  1.8875                      -9.1654511
                   1.895                       -9.195167
                  1.9025                      -9.2277087
                    1.91                      -9.2631074
                  1.9175                      -9.3013973
                   1.925                      -9.3426154
                  1.9325                      -9.3868019
                    1.94                      -9.4340001
                  1.9475                      -9.4842564
                   1.955                      -9.5376208
                  1.9625                      -9.5941465
                    1.97                      -9.6538906
                  1.9775                      -9.7169137
                   1.985                      -9.7832806
                  1.9925                        -9.85306
                       2                      -9.9263249
                  2.0075                      -10.003153
                   2.015                      -10.083626
                  2.0225                      -10.167832
                    2.03                      -10.255864
                  2.0375                      -10.347819
                   2.045                      -10.443801
                  2.0525                      -10.543921
                    2.06                      -10.648296
                  2.0675                      -10.757051
                   2.075                      -10.870316
                  2.0825                      -10.988232
                    2.09                      -11.110949
                  2.0975                      -11.238623
                   2.105                      -11.371423
                  2.1125                      -11.509529
                    2.12                      -11.653133
                  2.1275                      -11.802438
                   2.135                      -11.957664
                  2.1425                      -12.119043
                    2.15                      -12.286827
                  2.1575                      -12.461285
                   2.165                      -12.642706
                  2.1725                      -12.831404
                    2.18                      -13.027714
                  2.1875                      -13.232001
                   2.195                      -13.444662
                  2.2025                      -13.666125
                    2.21                       -13.89686
                  2.2175                      -14.137377
                   2.225                      -14.388239
                  2.2325                      -14.650061
                    2.24                      -14.923523
                  2.2475                      -15.209378
                   2.255                      -15.508461
                  2.2625                      -15.821706
                    2.27                      -16.150157
                  2.2775                      -16.494989
                   2.285                      -16.857532
                  2.2925                        -17.2393
                     2.3                      -17.642024
                  2.3075                      -18.067698
                   2.315                      -18.518636
                  2.3225                      -18.997546
                    2.33                       -19.50762
                  2.3375                      -20.052664
                   2.345                      -20.637262
                  2.3525                      -21.267008
                    2.36                      -21.948824
                  2.3675                       -22.69142
                   2.375                      -23.505969
                  2.3825                      -24.407132
                    2.39                      -25.414686
                  2.3975                       -26.55622
                   2.405                      -27.871882
                  2.4125                      -29.423396
                    2.42                       -31.31297
                  2.4275                      -33.728896
                   2.435                      -37.081606
                  2.4425                      -42.598729
                    2.45                      -61.395038
                  2.4575                      -44.895414
                   2.465                      -38.264933
                  2.4725                      -34.561411
                    2.48                      -31.983623
                  2.4875                      -30.007595
                   2.495                      -28.407291
                  2.5025                      -27.064342
                    2.51                       -25.90895
                  2.5175                      -24.896479
                   2.525                      -23.996651
                  2.5325                      -23.187975
                    2.54                      -22.454647
                  2.5475                      -21.784704
                   2.555                       -21.16887
                  2.5625                       -20.59981
                    2.57                      -20.071618
                  2.5775                      -19.579472
                   2.585                      -19.119383
                  2.5925                      -18.688012
                     2.6                      -18.282537
                  2.6075                      -17.900549
                   2.615                      -17.539979
                  2.6225                      -17.199032
                    2.63                      -16.876144
                  2.6375                      -16.569943
                   2.645                      -16.279219
                  2.6525                      -16.002896
                    2.66                      -15.740019
                  2.6675                      -15.489731
                   2.675                      -15.251263
                  2.6825                      -15.023921
                    2.69                      -14.807079
                  2.6975                      -14.600165
                   2.705                      -14.402662
                  2.7125                      -14.214096
                    2.72                      -14.034034
                  2.7275                      -13.862077
                   2.735                       -13.69786
                  2.7425                      -13.541047
                    2.75                      -13.391326
                  2.7575                      -13.248409
                   2.765                       -13.11203
                  2.7725                      -12.981941
                    2.78                      -12.857914
                  2.7875                      -12.739734
                   2.795                      -12.627204
                  2.8025                      -12.520136
                    2.81                      -12.418359
                  2.8175                      -12.321711
                   2.825                      -12.230041
                  2.8325                      -12.143209
                    2.84                      -12.061083
                  2.8475                      -11.983539
                   2.855                      -11.910462
                  2.8625                      -11.841746
                    2.87                      -11.777288
                  2.8775                      -11.716994
                   2.885                      -11.660778
                  2.8925                      -11.608556
                     2.9                      -11.560251
                  2.9075                      -11.515794
                   2.915                      -11.475115
                  2.9225                      -11.438155
                    2.93                      -11.404856
                  2.9375                      -11.375164
                   2.945                       -11.34903
                  2.9525                      -11.326409
                    2.96                      -11.307261
                  2.9675                      -11.291546
                   2.975                       -11.27923
                  2.9825                      -11.270283
                    2.99                      -11.264676
                  2.9975                      -11.262384
                   3.005                      -11.263387
                  3.0125                      -11.267663
                    3.02                      -11.275198
                  3.0275                      -11.285978
                   3.035                      -11.299993
                  3.0425                      -11.317233
                    3.05                      -11.337693
